businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
311,,605 Tremont,Roxbury,MA,2118,Active,FS,Eating & Drinking,2022-08-01 15:00:41.393+00,,137766,42.34313954,-71.07364051
# 7 RESTAURANT,,225 Grove,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2007-03-23 19:20:59+00,0,156965,42.26187293,-71.15741108
100 Federal Market & Barista- 10th Floor,,100 Federal,Boston,MA,2110,Active,FS,Eating & Drinking,2023-08-09 16:00:26.99+00,6174345000,57150,42.35476952,-71.05613045
100 Federal Market & Barista- 11th Floor,,100 Federal,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2021-01-12 15:37:24.463+00,6174345000,57150,42.35476952,-71.05613045
110 Grill,,25 Jan Karski,Dorchester,MA,2125,Active,FS,Eating & Drinking,2018-11-29 19:14:04.217+00,9786929450,421286,42.3253745,-71.06155276
129 Lake Street Cafe,,127 LAKE,Brighton/,MA,2135,Active,FS,Eating & Drinking,2010-10-14 16:49:26+00,5084463942,0,34.24438675,-73.6513909
149 Eat Street,,300 CHELSEA,Charlestown/,MA,2129,Active,FS,Eating & Drinking,2007-10-11 13:08:52+00,6177262520,0,34.24438675,-73.6513909
154 Station,,154 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2014-06-17 14:03:42.61+00,6174556223,92958,42.36990749,-71.03791338
163 Vietnamese Sandwich,,66 Harrison,Boston,MA,2111,Active,FS,Eating & Drinking,2007-08-09 17:26:45+00,6175427903,69990,42.35128952,-71.06105047
1928 Beacon Hill,,97 Mount Vernon,Boston,MA,2108,Active,FS,Eating & Drinking,2021-10-05 16:30:10.363+00,8572335662,98781,42.35805953,-71.06972047
1st Floor Cafe @ Tufts Medical Center,,750 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2023-10-04 15:08:25.153+00,,158017,42.35055518,-71.0628613
20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:04+00,6173645274,77089,42.25681962,-71.12411082
21 ST. AMENDMENT,,150 Bowdoin,Boston,MA,2108,Active,FS,Eating & Drinking,2006-12-07 18:34:35+00,6172277100,158193,42.35833578,-71.06258158
211 Better Bagels,,211 Congress,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2022-05-17 18:20:52.983+00,5084239773,358043,42.35467952,-71.05494045
224 BOSTON,,224 Boston,Dorchester,MA,2125,Active,FS,Eating & Drinking,2018-08-01 19:20:09.77+00,6172651217,156048,42.32227168,-71.06084886
2Twenty2,,4 Liberty,Boston,MA,2109,Active,FS,Eating & Drinking,2021-09-17 17:50:19.427+00,6177233222,421341,42.35747195,-71.05559774
320 Cafe,,314 Spring,West Roxbury,MA,2132,Active,FS,Eating & Drinking,2017-08-23 17:20:17.51+00,3057851745,157799,42.2717124,-71.17211132
3rd Floor @ Tufts Medical Center,,750 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2023-10-04 15:08:08.557+00,,158017,42.35055518,-71.0628613
410- North End Butcher,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2009-01-28 16:01:15+00,6176241600,,34.24438675,-73.6513909
417-Sal's Pizza,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:31:47+00,6176241600,,34.24438675,-73.6513909
50/50 Lounge,,1 Dalton,Boston,MA,2115,Active,FS,Eating & Drinking,2020-07-02 15:47:22.463+00,6175301741,437941,42.34577312,-71.08404646
521  Function Kitchen,,4 Jersey,Boston,MA,2215,Active,FS,Eating & Drinking,2022-02-22 19:26:20.017+00,6179825146,424258,42.34674275,-71.09860525
67 Degrees at The Substation,,4228 Washington,Roslindale,MA,2131,Active,FS,Eating & Drinking,2024-01-12 17:00:06.143+00,5085077376,454247,42.2861777,-71.12804339
75 CHESTNUT,,75 Chestnut,Boston,MA,2108,Active,FS,Eating & Drinking,2006-12-07 18:34:54+00,6172272175,31472,42.35689754,-71.07097148
75 On Liberty Wharf,,220 Northern,Boston,MA,2210,Active,FS,Eating & Drinking,2012-05-18 14:28:35+00,6178547631,342823,42.34910296,-71.03888962
753 South,,749 South,Roslindale,MA,2131,Active,FS,Eating & Drinking,2017-04-21 17:23:42.06+00,6176204626,128941,42.28715962,-71.12912077
89 Broad Street/Fin Point,,89 Broad,Boston,MA,2110,Active,FS,Eating & Drinking,2016-08-04 13:06:04.353+00,6173481234,20586,42.35743951,-71.05316044
9 Thai Express,,433 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2021-08-30 19:34:24.25+00,6175950409,351877,42.35512262,-71.13406262
960 Cafe,,960 Massachusetts,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,2023-07-25 14:54:36.913+00,6174147003,92677,42.32978954,-71.06894053
99 RESTAURANT AND PUB,,29 Austin,Charlestown,MA,2129,Active,FS,Eating & Drinking,2006-12-07 18:34:27+00,6152568500,155829,42.37483448,-71.06700893
A & B Burgers,,97 Beverly,Boston,MA,2114,Active,FS,Eating & Drinking,2018-07-16 16:05:13.79+00,6175964339,419694,42.36555058,-71.05936316
A & N PIZZA,,1409 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:14+00,6173232211,27566,42.29412963,-71.13674077
A K's Take Out & Delivery,,1427 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,2007-10-31 19:33:00+00,6175410300,136818,42.33185757,-71.09633359
A. T. O'Keeffe's Provisions & Pub,,911 Boylston,Boston,MA,2115,Active,FS,Eating & Drinking,2022-02-01 14:18:19.497+00,6179363927,351730,42.34842956,-71.08442053
AAA Restaurant ,,3141 Washington,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,2023-08-09 16:33:38.033+00,8573408008,144632,42.31415558,-71.10021564
ABE & LOUIE'S,,793 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,2011-04-04 19:19:34+00,6175364200,18399,42.34922155,-71.08158066
ABIGAIL'S TEA ROOM @CONGRESS BRIDGE,,306 Congress,Boston,MA,2210,Active,FS,Eating & Drinking,2012-01-17 17:47:36+00,6177371773,,34.24438675,-73.6513909
AC Hotel by Marriot,,225 Albany,Roxbury,MA,2118,Active,FS,Eating & Drinking,2016-04-25 13:21:47.71+00,7819533682,419340,42.34509659,-71.06195692
AC Hotel by Marriott,,395 Chestnut Hill,Brighton,MA,2467,Active,FS,Eating & Drinking,2016-06-13 18:08:14.38+00,6038976100,419814,42.33466436,-71.15077011
Acapulco Mexican Restaurant,,466 CENTRE,JAMAICA PLAIN,MA,2130,Active,FS,Eating & Drinking,2006-12-07 18:34:15+00,6175244328,,34.24438675,-73.6513909
Aceituna,,100 Federal,Boston,MA,2110,Active,FS,Eating & Drinking,2018-05-30 16:57:10.273+00,,358023,42.35476952,-71.05613045
Aceituna Grill,,267 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2022-10-26 13:18:15.3+00,8572398973,101480,42.34955355,-71.08350552
Aceituna Grill,,99 Seaport,Boston,MA,2210,Active,FS,Eating & Drinking,2016-06-20 15:02:50.28+00,6172520707,350792,42.35115169,-71.04534918
Achilitos Taqueria,,38 Hyde Park,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,2018-01-24 16:26:17.697+00,6179875465,352202,42.29886691,-71.11399329
Achilitos Taqueria,,160 Chestnut Hill,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2020-08-27 15:57:08.88+00,,408551,42.34144965,-71.1543307
Across The Border & Vegan and Vegetarian,,378 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,2022-07-15 14:33:23.013+00,,422832,42.32198959,-71.10926064
Adams B & B,,12 Edgerly,Boston,MA,2115,Active,FS,Eating & Drinking,2023-11-17 16:42:41.23+00,6175364181,51167,42.34605956,-71.08786054
ADK Sandwich Shop,,421 Bowdoin,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,2021-08-13 14:35:35.983+00,,378654,42.31044953,-71.06204056
Adrianos,,80 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2024-01-18 18:13:42.793+00,7812232594,423633,42.3656452,-71.06165549
AFC Sushi @ Shaws #1208,,246 Border,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2018-06-05 14:32:34.187+00,3106043200,155969,42.37667423,-71.04025626
AFC Sushi @ Shaws #3696,AFC Sushi @ Shaws #3696,50 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-09-13 19:01:32.427+00,8546172415,423632,42.3656452,-71.06165549
AFC Sushi @ Walgreens #15390,,10 School,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2013-04-24 17:58:51+00,3106043200,169533,42.35732715,-71.05896874
AFC SUSHI @SIMMONS COLLEGE,,300 Fenway,Boston,MA,2115,Active,FS,Eating & Drinking,2010-08-20 14:13:45+00,6173649375,57444,42.33930958,-71.09996058
AFC Sushi @Star Market #3577,,75 Spring,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2018-01-31 16:31:57.36+00,6173270564,129598,42.27870967,-71.16330086
Agganis Arena-FS,,925 Commonwealth,Boston,MA,2215,Active,FS,Eating & Drinking,2022-08-25 16:12:03.143+00,6173587000,156282,42.35216595,-71.11768093
Agganis Arena-Stand 1,,925 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:35:11.7+00,6173587000,156282,42.35216595,-71.11768093
Agganis Arena-Stand 2,,925 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:43:53.82+00,6173587000,156282,42.35216595,-71.11768093
Agganis Arena-Stand 3,,925 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:46:01.26+00,6173587000,156282,42.35216595,-71.11768093
Agganis Arena-Stand 4,,925 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:47:50.04+00,6173587000,156282,42.35216595,-71.11768093
Agganis Arena-Stand 5,,925 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:49:45.49+00,6173587000,156282,42.35216595,-71.11768093
Air France Lounge,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2014-12-31 16:30:03.99+00,2016383677,341351,42.36990367,-71.01943961
Ajeen,,1219 Commonwealth,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2019-02-27 14:45:44.463+00,,157940,42.3507547,-71.13087063
AL DENTE RISTORANTE,,109 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:34:30+00,6175230990,121695,42.36420952,-71.05536043
Alamo Drafthouse,,23 Northern,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,2023-02-21 15:59:37.983+00,,352651,42.35310818,-71.04722028
Alcove,,131 Beverly,Boston,MA,2114,Active,FS,Eating & Drinking,2017-09-13 17:15:03.423+00,7745268386,172189,42.36702987,-71.06008652
ALEX PIZZA,,1252 Washington,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:33+00,6178339626,157038,42.34230098,-71.06737907
ALEX'S CHIMIS,,358 CENTRE,JAMAICA PLAIN,MA,2130,Active,FS,Eating & Drinking,2006-12-07 18:35:02+00,6175225201,,42.32230349,-71.10755191
ALFREDO'S,,229 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:52+00,6175628222,156216,42.35367874,-71.13567048
ALFREDO'S ITALIAN KITCHEN,,243 Dorchester,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:02+00,6174581231,156257,42.33285457,-71.05131852
Ali Baba,,99A Cambridge,Charlestown,MA,2129,Active,FS,Eating & Drinking,2020-01-23 18:03:32.517+00,6173986902,351905,42.38253954,-71.07920044
ALI ROTI RESTAURANT,,1035 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:58+00,6172989850,136793,42.33665956,-71.08563056
Alibi,,215 Charles,Boston,MA,2114,Active,FS,Eating & Drinking,2011-12-14 13:20:31+00,8572411144,160740,42.36202989,-71.07036256
Ali's Uyghur Kitchen,,1 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2022-02-15 20:38:54.857+00,5713856111,157732,42.35241066,-71.12533013
All Spice Restaurant,,41 Worcester,Roxbury,MA,2118,Active,FS,Eating & Drinking,2022-07-13 16:52:12.673+00,6172665300,152332,42.33586954,-71.07420053
All That Fish and Oyster,,771 Beacon,Boston,MA,2215,Active,FS,Eating & Drinking,2022-11-08 17:33:30.917+00,,439491,42.34746536,-71.10112841
ALLIS ROTI + MEAT MARKET,,1188 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:12+00,6172989850,16183,42.28376957,-71.09129069
Alma Cantina,,15 Union,Boston,MA,2109,Active,FS,Eating & Drinking,2021-06-25 16:45:13.517+00,6178350438,139286,42.36081812,-71.05671569
Alma Gaucha,,401 D,Boston,MA,2210,Active,FS,Eating & Drinking,2020-02-04 18:53:35.71+00,6174204900,355423,42.34359205,-71.04466738
Aloft Boston Seaport Hotel,,401 D,Boston,MA,2210,Active,FS,Eating & Drinking,2021-12-29 16:20:56.297+00,6175301600,355423,42.34359205,-71.04466738
Aloft Boston Seaport Hotel Refuel,,401 D,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,2021-12-29 16:30:46.133+00,6175301600,355423,42.34359205,-71.04466738
AL'S CAFÉ,,27 DRYDOCK,BOSTON,MA,2210,Active,FT,Eating & Drinking w/ Take Out,2021-04-14 15:40:27.41+00,6172811443,49599,42.34427301,-71.02802386
Al's South St. Express,,179 Essex,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2007-12-13 15:39:20+00,6173206953,54296,42.35206674,-71.05756794
AL'S STATE ST. CAFE,,112 State,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:40+00,6177205555,351886,42.35928155,-71.0548732
Alta Strada/AM2-A03/29,,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2019-05-09 19:00:04.663+00,,341357,42.36453933,-71.02181778
Alumni 1,,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:48:17+00,6175523307,172185,42.33513561,-71.16705715
Alumni 2,,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:51:09+00,6175523307,172185,42.33513561,-71.16705715
Alumni 3,,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 14:06:10+00,6175523307,172185,42.33513561,-71.16705715
Alumni 4,,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 14:09:18+00,6175523307,172185,42.33513561,-71.16705715
Alumni 5,,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 14:11:42+00,6175523307,172185,42.33513561,-71.16705715
Al-Wadi Restaurant,,1249 VFW,West Roxbury,MA,2132,Active,FS,Eating & Drinking,2010-07-28 12:29:14+00,6173233236,140286,42.27723969,-71.17261089
AMC Causeway at the Garden 13,,60 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2023-02-21 15:05:36.347+00,6172754104,439200,42.3656452,-71.06165549
AMC South Bay 12 (Concession),,21 District,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2016-10-31 17:23:02.547+00,,420661,42.32572328,-71.06222669
AMC South Bay 12 (MacGuffins),,21 District,Dorchester,MA,2125,Active,FS,Eating & Drinking,2016-10-31 17:32:07.47+00,,420661,42.32572328,-71.06222669
AMC Theatres Boston Common 19,,175 Tremont,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:25+00,8164805862,137447,42.35314953,-71.06403047
Amelia's Taqueria,,309 Huntington,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2014-11-07 13:52:00.48+00,6172660040,155730,42.34119557,-71.08766035
Amelia's Taqueria,,1076 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,2018-08-15 18:17:22.007+00,6173658220,158326,42.34695669,-71.0879576
Amelia's Taqueria,,180 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2013-04-04 17:29:03+00,6177877672,156787,42.35301368,-71.13363214
Amelia's Taqueria III,,1936 Beacon,Brighton,MA,2135,Active,FS,Eating & Drinking,2017-05-02 18:14:50.4+00,6175056232,155677,42.336353,-71.14993226
American Airlines Club Boston,,200 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2018-03-23 15:31:34.24+00,6176345050,341353,42.36267681,-71.01863533
Americano Espresso Bar,,155 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2007-02-13 13:24:51+00,6175938079,94405,42.37385249,-71.03888537
America's Test Kitchen,,21 Dry Dock,Boston,MA,2210,Active,FS,Eating & Drinking,2017-12-14 15:35:55.76+00,6172321000,164542,42.344239,-71.03113403
Amorino,,249 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2014-06-23 18:26:32.913+00,6179539682,101461,42.34975455,-71.08279352
AMRHEIN'S,,80 BROADWAY,SOUTH BOSTON,MA,2127,Active,FS,Eating & Drinking,2006-12-07 18:34:09+00,6172686189,,42.34192537,-71.05524166
ANCHOVIES RESTAURANT,,433 COLUMBUS ,BOSTON,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:36:42+00,6172665088,,42.3440413,-71.07786144
Ancient & Honorable Artillery Company,,200 Faneuil Hall Market,Boston,MA,2109,Active,FS,Eating & Drinking,2007-03-24 15:32:37+00,6172271638,,34.24438675,-73.6513909
Andalus Pizza & Cafe,,153 SUTHERLAND,BRIGHTON,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2007-08-17 13:15:12+00,6179084750,,42.34103611,-71.14689915
ANDREW SQUARE HOUSE OF PIZZA,,395 Dorchester,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2018-09-25 14:15:19.38+00,6172681940,49085,42.33005037,-71.05655357
Angela's Cafe,,131 Lexington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2007-08-02 17:36:55+00,0,85525,42.37852949,-71.03500035
Angela's Cafe II,,1012 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2016-03-02 16:02:42.33+00,6175695267,162035,42.38711524,-71.00630981
Anna Hand Cut Donuts,,2056 Centre,West Roxbury,MA,2132,Active,FS,Eating & Drinking,2006-12-07 18:33:55+00,6173232680,157110,42.28001393,-71.1581924
Anna's Cafe,,267 Medford,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2014-10-16 12:21:13.207+00,6174826050,93725,42.38128952,-71.0615494
Anna's Taqueria,,354 Longwood,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2022-07-28 15:57:38.143+00,,343104,42.33898693,-71.10769487
Anna's Taqueria,,800 Boylston,Boston,MA,2199,Active,FT,Eating & Drinking w/ Take Out,2017-06-26 16:19:50.24+00,6172622300,157244,42.34729636,-71.08145798
Anna's Taqueria,,242 Cambridge,Boston,MA,2114,Active,FS,Eating & Drinking,2008-06-09 17:08:50+00,6172278822,25260,42.36092953,-71.06710046
Annie's Bakery & Cafe,,753 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,2023-09-01 17:53:00.207+00,6172692186,164672,42.33543568,-71.03522772
Anoush Ella,,35 Newton,Roxbury,MA,2118,Active,FS,Eating & Drinking,2016-09-06 18:05:21.263+00,6175124819,372424,42.33893991,-71.07394325
Anoush' Ella,,201 Brookline,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2019-04-09 16:28:39.24+00,6175124819,340960,42.34475565,-71.1014137
Anshur Restauruant,,291 Roxbury,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2008-09-29 17:44:43+00,6176995306,119179,42.33040957,-71.09430059
ANTICO FORNO,,93 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:34:46+00,6177428441,157423,42.36374227,-71.05559145
Antonios Bacaro,,1 Fairmount,Hyde Park,MA,2136,Active,FS,Eating & Drinking,2015-07-06 16:12:14.347+00,6179479407,55669,42.25557962,-71.12118082
Antonio's Hi-Fi,,1508 Dorchester,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,2014-09-19 17:46:30.743+00,6178429592,48338,42.29928953,-71.06025058
ANTONIO'S ITALIANO CUCINA,,286 Cambridge,Boston,MA,2114,Active,FS,Eating & Drinking,2006-12-07 18:34:35+00,6173673310,25272,42.36095053,-71.06816046
APizza- K1,,80 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2020-02-26 15:42:05.09+00,6179363490,423633,42.3656452,-71.06165549
APM Coffee,,99 Kneeland,Boston,MA,2111,Active,FS,Eating & Drinking,2019-05-07 12:49:57.52+00,,420869,42.34993337,-71.06010948
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,,11A Allstate,Dorchester,MA,2125,Active,FS,Eating & Drinking,2011-10-25 18:06:55+00,6174427139,172685,42.32608687,-71.06361196
Aqua Pazza,,135 Richmond,Boston,MA,2113,Active,FS,Eating & Drinking,2015-12-17 20:39:56.797+00,,352041,42.36327951,-71.05408043
AQUITAINE,,569 Tremont,Roxbury,MA,2118,Active,FS,Eating & Drinking,2006-12-07 18:34:59+00,6174248577,157437,42.34380141,-71.07235144
Arboretum Grill,,4021 Washington,Roslindale,MA,2131,Active,FS,Eating & Drinking,2011-10-14 12:30:39+00,6173239100,145067,42.29200961,-71.12244074
ARCHIE'S NEW YORK DELI,,93 Arch,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:36+00,6173305145,161605,42.35504189,-71.05912903
Ariana Restaurant,,123 Antwerp,Brighton,MA,2135,Active,FS,Eating & Drinking,2014-10-30 12:58:29.187+00,6172088072,343305,42.36251714,-71.13821685
Arizona B B Q,,2360 Washington,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2008-03-04 19:08:38+00,6174422999,144493,42.32936956,-71.08446057
ARTU,,6 Prince,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:34:23+00,6177424336,112966,42.36410951,-71.05372042
Arya Trattoria,,253 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,2013-02-01 18:42:43+00,6177421276,69071,42.36320968,-71.05481018
Ascia Foods,,100 Malcolm X,Roxbury,MA,2119,Active,FS,Eating & Drinking,2020-01-21 13:15:05.823+00,6179593031,340841,42.33090499,-71.09337359
Ashburton Cafe,,1 Ashburton,Boston,MA,2114,Active,FS,Eating & Drinking,2007-04-06 17:51:49+00,6177994625,5052,42.35927553,-71.06235945
Asia Wok,,44 Harvard,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2018-12-24 16:56:19.29+00,6177826714,354426,42.35451962,-71.13228062
ASIAN GARDEN RESTAURANT INC.,,28 HARRISON ,BOSTON,MA,2111,Active,FS,Eating & Drinking,2006-12-07 18:35:32+00,6174263348,,42.35196358,-71.06103115
Asian Thai Eatery,,1064 River,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,2022-11-16 13:38:02.29+00,6173614448,158305,42.258784,-71.11774221
Assaggio,,29 Prince,Boston,MA,2113,Active,FS,Eating & Drinking,2017-08-09 14:46:42.963+00,6172277380,360658,42.36458951,-71.05420042
Assembly on 2,,100 Summer,Boston,MA,2110,Active,FS,Eating & Drinking,2023-01-09 20:16:14.547+00,,155612,42.35355952,-71.05736046
Asta,,47 Massachusetts,Boston,MA,2215,Active,FS,Eating & Drinking,2012-08-29 14:49:31+00,6178234664,422671,42.34981956,-71.08927054
At Union,,174 HARVARD ,BOSTON,MA,2134,Active,FS,Eating & Drinking,2009-07-10 13:05:04+00,6172444909,,42.36430081,-71.12787946
ATLANTIC FISH COMPANY,,761 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,2011-04-04 18:50:20+00,6175364200,18393,42.34934955,-71.08121052
Atlantico,,50 Malden,Roxbury,MA,2118,Active,FS,Eating & Drinking,2019-12-10 20:38:39.757+00,6178186588,419532,42.34010912,-71.06805359
ATRIUM CAFE/HARVARD MED.SCHOOL,,260 Longwood,Boston,MA,2115,Active,FS,Eating & Drinking,2006-12-07 18:36:23+00,6174326169,157056,42.33705608,-71.10407981
Audubon,,838 Beacon,Boston,MA,2215,Active,FS,Eating & Drinking,2014-04-01 16:57:14+00,6174211910,12259,42.34740958,-71.10321057
Auntie Anne's Pretzels/ Carvel,,700 Atlantic,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2021-07-08 14:45:17.177+00,6318975251,156723,42.35195869,-71.05502724
AUNTIE VIE'S BAKERY & CAFE,,538 Dudley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2019-05-13 17:49:38.19+00,,164576,42.32164705,-71.07204681
Avana Market Place,,40 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2009-04-03 14:23:20+00,6174263331,69834,42.35166352,-71.06096847
Avana Sushi,,58 Franklin,Boston,MA,2110,Active,FS,Eating & Drinking,2021-03-25 14:19:56.86+00,6174235000,156306,42.35579543,-71.05845171
Azama Grill,,44 Harvard,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2009-12-30 13:22:42+00,6174477646,70391,42.35444122,-71.13226295
B & G OYSTERS LTD.,,550 Tremont,Roxbury,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:35:51+00,6174230550,137629,42.34389454,-71.07126351
B I DEACONESS/WEST END CAFE,,1 DEACONESS,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:29+00,6675634,,42.33781286,-71.10907942
B U-100 Baystate Dining Cafe/Multi Purpose,,100 Bay State,Boston,MA,2215,Active,FS,Eating & Drinking,2011-09-20 18:52:39+00,6173532947,342937,42.34996269,-71.09791457
B. Good,,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2019-05-09 18:53:44.123+00,,341357,42.36453933,-71.02181778
B. Good Burger,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2018-08-14 18:27:45.563+00,7163679342,341353,42.36267681,-71.01863533
B. U. Einsteins Bagels,,685 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:57+00,6173532947,157907,42.35013382,-71.10454724
B.U. George Sherman Union,,775 COMMONWEALTH ,BOSTON,MA,2215,Active,FS,Eating & Drinking,2006-12-07 18:34:22+00,6173532947,,42.35073666,-71.10882197
B.U. PUB,,225 BAY STATE,BOSTON,MA,2215,Active,FS,Eating & Drinking,2006-12-07 18:34:22+00,6173532947,,42.35091206,-71.10394868
B.U. SCHOOL OF LAW CART,,765 COMMONWEALTH ,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:38+00,6173532947,,42.35078936,-71.10818163
B.U. SCHOOL OF MANAGEMENT,,595 Commonwealth,Boston,MA,2215,Active,FS,Eating & Drinking,2006-12-07 18:35:42+00,6173532947,155950,42.34958322,-71.09978615
